Date,Open,High,Low,Close
2010-09-16,95.53,95.53,95.53,95.53
2010-09-17,95.97,95.97,95.97,95.97
2010-09-21,97.17,97.17,97.17,97.17
2010-09-22,96.64,96.64,96.64,96.64
2010-09-23,96.91,96.91,96.91,96.91
2010-09-24,97.84,97.84,97.84,97.84
2010-09-27,97.72,97.72,97.72,97.72
2010-09-28,97.67,97.67,97.67,97.67
2010-09-29,97.69,97.69,97.69,97.69
2010-09-30,97.17,97.17,97.17,97.17
2010-10-01,97.42,97.42,97.42,97.42
2010-10-04,97.01,97.01,97.01,97.01
2010-10-05,98.85,98.85,98.85,98.55
2010-10-06,99.12,99.12,99.12,99.12
2010-10-07,98.92,98.92,98.92,98.92
2010-10-08,99.34,99.34,99.34,99.34
2010-10-11,99.56,99.56,99.56,99.56
2010-10-12,99.42,99.42,99.42,99.42
2010-10-13,100.74,100.74,100.74,100.74
2010-10-14,100.32,100.32,100.32,100.32
2010-10-15,100.48,100.48,100.48,100.48
2010-10-18,100.67,100.67,100.67,100.67
2010-10-19,100.23,100.23,100.23,100.23
2010-10-20,100.7,100.7,100.7,100.7
2010-10-21,101.18,101.18,101.18,101.18
2010-10-22,100.9,100.9,100.9,100.9
2010-10-25,101.67,101.67,101.67,101.67
2010-10-26,101.37,101.37,101.37,101.21
2010-10-27,100.2,100.2,100.2,100.2
2010-10-28,100.96,100.96,100.96,100.96
2010-10-29,100.84,100.84,100.84,100.84
2010-11-01,101.54,101.54,101.52,101.48
2010-11-02,101.49,101.92,101.49,101.73
2010-11-03,102.2,102.2,101.45,101.61
2010-11-04,103.05,103.34,103.02,103.81
2010-11-05,104.34,104.34,104.34,104.34
2010-11-08,104.44,104.44,104.19,104.19
2010-11-09,104.54,104.56,104.38,104.38
2010-11-10,103.31,103.31,103.31,103.31
2010-11-11,103.16,103.16,103.16,103.16
2010-11-12,102.73,102.73,102.73,102.73
2010-11-15,102.84,102.84,102.84,102.84
2010-11-16,100.75,100.75,100.75,100.75
2010-11-17,100.96,100.96,100.96,100.96
2010-11-18,102.46,102.46,102.46,102.46
2010-11-19,102.05,102.14,102.05,102.13
2010-11-22,103.03,103.03,101.82,101.86
2010-11-23,101.74,101.96,100.55,100.55
2010-11-24,102.18,102.18,102.18,102.18
2010-11-25,102.71,102.71,102.71,102.71
2010-11-26,101.73,101.73,101.73,101.73
2010-11-29,101.12,101.12,100.7,100.7
2010-11-30,100.84,100.84,100.84,100.84
2010-12-01,102.7,102.7,102.7,102.7
2010-12-02,104.22,104.22,104.22,104.22
2010-12-03,104.12,104.12,104.12,104.12
2010-12-06,104.48,104.48,104.48,104.48
2010-12-07,105.14,105.14,105.14,105.14
2010-12-08,104.6,104.6,104.6,104.6
2010-12-09,105.11,105.11,105.11,105.11
2010-12-10,105.63,105.63,105.63,105.63
2010-12-13,106.4,106.4,106.4,106.4
2010-12-14,106.58,106.58,106.58,106.51
2010-12-15,106.23,106.23,106.23,106.23
2010-12-16,106.16,106.16,106.16,106.16
2010-12-17,106.23,106.23,106.23,106.23
2010-12-20,106.38,106.38,106.38,106.38
2010-12-21,107.18,107.18,107.18,107.18
2010-12-22,107.43,107.43,107.43,107.51
2010-12-23,107.55,107.55,107.55,107.55
2010-12-24,107.56,107.56,107.56,107.56
2010-12-29,107.88,107.88,107.88,107.88
2010-12-30,107.57,107.57,107.57,107.57
2010-12-31,107.54,107.54,107.54,107.54
2011-01-04,109.12,109.12,108.62,108.46
2011-01-05,108.01,108.01,108.01,109.05
2011-01-06,109.15,109.52,108.86,108.94
2011-01-07,109.05,109.11,108.74,108.41
2011-01-10,108.43,108.43,108.14,108.28
2011-01-11,108.13,109.09,108.13,109.24
2011-01-12,109.1,109.73,109.1,110.05
2011-01-13,109.85,109.85,109.85,110.1
2011-01-14,109.82,109.82,109.82,110.16
2011-01-17,110.24,110.24,110.24,110.24
2011-01-18,110.73,110.73,110.73,110.73
2011-01-19,111.12,111.12,110.33,110.14
2011-01-20,109.15,109.15,109.15,108.9
2011-01-21,110.06,110.06,110.06,110.06
2011-01-24,110.38,110.38,110.38,110.38
2011-01-25,110.07,110.07,110.07,109.85
2011-01-26,110.83,110.83,110.83,110.83
2011-01-27,110.8,110.8,110.8,110.8
2011-01-28,109.93,109.93,109.93,109.93
2011-01-31,109.78,109.78,109.78,109.78
2011-02-01,111.46,111.46,111.46,111.46
2011-02-02,111.76,111.76,111.76,111.77
2011-02-03,111.14,111.14,111.14,111.38
2011-02-04,112.04,112.04,112.04,111.84
2011-02-07,113.19,113.19,113.19,113.21
2011-02-08,113.19,113.19,113.19,113.19
2011-02-09,113.21,113.23,113.21,112.99
2011-02-10,113.18,113.18,113.18,113.18
2011-02-11,113.64,113.64,113.64,113.64
2011-02-14,113.93,114.0,113.93,113.94
2011-02-15,113.89,113.89,113.89,113.89
2011-02-16,115.1,115.1,115.1,114.42
2011-02-17,114.74,114.74,114.74,114.74
2011-02-18,114.88,114.88,114.88,115.08
2011-02-21,114.17,114.17,114.17,114.17
2011-02-22,114.24,114.24,114.24,113.93
2011-02-23,112.49,112.49,112.49,112.49
2011-02-24,112.11,112.11,112.11,112.11
2011-02-25,112.77,112.77,112.77,112.77
2011-02-28,113.27,113.27,113.27,113.69
2011-03-01,113.28,113.28,113.28,113.28
2011-03-02,112.31,112.31,112.31,112.31
2011-03-03,113.41,113.41,113.41,113.75
2011-03-04,113.36,113.36,113.36,113.36
2011-03-07,112.61,112.61,112.61,112.61
2011-03-08,112.38,112.38,112.38,113.42
2011-03-09,112.93,112.93,112.93,112.93
2011-03-10,111.64,111.64,111.64,111.64
2011-03-11,110.55,110.55,110.55,111.29
2011-03-14,110.59,110.59,110.59,110.59
2011-03-15,109.0,109.0,109.0,109.92
2011-03-16,109.94,109.94,108.89,108.78
2011-03-17,109.48,109.48,109.34,109.5
2011-03-18,110.66,110.66,110.66,110.25
2011-03-21,111.62,111.62,111.62,111.62
2011-03-22,111.47,111.47,111.47,111.28
2011-03-23,110.97,110.97,110.97,110.97
2011-03-24,111.72,111.72,111.72,112.38
2011-03-25,113.19,113.19,113.19,113.19
2011-03-28,113.06,113.06,113.06,113.06
2011-03-29,112.92,112.92,112.92,112.92
2011-03-30,113.85,114.0,113.85,113.92
2011-03-31,113.91,113.91,113.91,113.91
2011-04-01,114.8,114.8,114.8,114.8
2011-04-04,114.35,114.53,114.35,114.49
2011-04-05,114.06,114.06,114.06,114.61
2011-04-06,114.61,114.61,114.61,114.58
2011-04-07,114.37,114.37,114.37,114.37
2011-04-08,114.84,114.84,114.84,114.38
2011-04-11,114.33,114.33,114.33,114.33
2011-04-12,112.61,112.61,112.61,112.61
2011-04-13,112.98,112.98,112.98,112.98
2011-04-14,112.42,112.42,112.42,112.42
2011-04-15,113.32,113.32,113.32,113.32
2011-04-18,111.7,111.7,111.7,111.52
2011-04-19,112.06,112.06,112.06,112.06
2011-04-20,114.36,114.36,114.36,114.36
2011-04-21,114.78,114.78,114.78,114.78
2011-04-26,115.71,115.71,115.71,115.71
2011-04-27,115.69,115.69,115.69,115.69
2011-04-28,116.36,116.36,116.07,116.69
